PriceNoTax,YearNum,Month_ID,BrandR1,SeazonClass,ConstrGroup,ExpositionType,CityType,OperatorR1,OperatorR2,BudgetClass,GRP,Latitude,Longitude,Population,Seller_Cat,Dis
34000.0,2,9,1.0,2,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
34000.0,3,1,1.0,0,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
34000.0,3,2,1.0,1,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
34000.0,3,3,1.0,1,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
34000.0,3,4,1.0,1,2,0,3,0,2,5,4.61593838561225,54.71169,20.432641,489359.0,169,1.060034506045596
24000.0,1,3,1.0,1,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,1.0296194171811581
20000.0,1,4,1.0,1,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,0.9783261227936078
20000.0,1,5,1.0,0,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,0.9783261227936078
24000.0,1,6,1.0,0,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,1.0296194171811581
24000.0,1,7,1.0,1,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,1.0296194171811581
24000.0,1,8,1.0,1,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,1.0296194171811581
24000.0,1,9,1.0,2,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,1.0296194171811581
24000.0,1,10,1.0,2,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,1.0296194171811581
24000.0,1,11,1.0,2,2,0,4,0,1,3,1.495,56.822734,60.584225,1493749.0,275,1.0296194171811581
20150.0,3,0,2.0,0,2,0,4,2,4,5,3.74,55.236332,61.378117,1196680.0,36,1.0818051703517284
20150.0,3,1,2.0,0,2,0,4,2,4,5,3.74,55.236332,61.378117,1196680.0,36,1.0818051703517284
46000.0,3,0,2.0,0,3,1,4,0,2,5,2.18,55.258396,61.390787,1196680.0,268,1.0465559267120566
46000.0,3,1,2.0,0,3,1,4,0,2,5,2.18,55.258396,61.390787,1196680.0,268,1.0465559267120566
9900.0,2,6,1.0,0,2,0,2,0,1,3,13.0224739427732,59.6357,56.7671,92602.0,157,0.9902543934713094
9900.0,2,7,1.0,1,2,0,2,0,1,3,13.0224739427732,59.6357,56.7671,92602.0,157,0.9902543934713094
11000.0,1,5,0.0,0,0,0,4,0,2,1,1.05,54.7658,56.02647099999999,1128787.0,238,1.0986122886681098
11000.0,1,6,1.0,0,0,0,4,0,2,1,1.05,54.7658,56.02647099999999,1128787.0,238,1.0986122886681098
11000.0,1,5,0.0,0,0,0,4,0,2,1,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,4,0.0,1,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,5,0.0,0,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,6,0.0,0,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,7,0.0,1,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,8,0.0,1,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,9,0.0,2,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,10,0.0,2,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,11,0.0,2,0,0,4,0,2,4,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,8,0.0,1,0,0,4,0,2,2,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
11000.0,1,11,0.0,2,0,0,4,0,2,2,1.33,54.73715799999999,55.946222,1128787.0,238,1.0986122886681098
15900.0,1,8,2.0,1,2,0,4,0,2,2,1.78,55.166465,61.41079499999999,1196680.0,132,1.1183326994058282
15600.0,1,1,3.0,0,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
15600.0,1,2,3.0,1,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
15600.0,1,3,3.0,1,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
15600.0,1,6,3.0,0,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
15600.0,1,7,3.0,1,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
15600.0,1,8,3.0,1,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
15600.0,1,9,3.0,2,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
15600.0,1,10,3.0,2,2,0,4,0,2,3,1.04,55.16641,61.41135,1196680.0,268,1.1113513144455394
35500.0,2,10,1.0,2,0,2,5,2,4,4,0.37,55.769073,37.648857,12615279.0,36,1.2014696741078175
35500.0,2,11,1.0,2,0,2,5,2,4,4,0.37,55.769073,37.648857,12615279.0,36,1.1474024528375417
29500.0,2,0,1.0,0,2,0,2,0,2,5,5.71859180375597,64.545582,40.517557,346979.0,178,1.0082053226773418
29500.0,2,1,1.0,0,2,0,2,0,2,5,5.71859180375597,64.545582,40.517557,346979.0,178,1.0082053226773418
25490.0,1,10,2.0,2,2,0,4,2,4,1,1.31,55.03442800000001,82.900476,1625631.0,115,1.0817985209955523
34990.0,1,0,0.0,0,2,0,4,2,4,1,1.99,54.9742,83.03511,1625631.0,115,1.1033168379396376
25000.0,3,0,2.0,0,2,1,4,0,2,5,0.61,55.1174,61.35378000000001,1196680.0,268,1.1314021114911006
25000.0,3,1,2.0,0,2,1,4,0,2,5,0.61,55.1174,61.35378000000001,1196680.0,268,1.1314021114911006
21666.67,1,9,0.0,2,1,2,4,0,2,2,0.934814814814815,56.817331,60.60601800000001,1493749.0,262,0.9321641391770125
26000.0,3,4,3.0,1,1,2,4,0,2,1,0.934814814814815,56.817331,60.60601800000001,1493749.0,262,1.1667500938353277
14400.0,1,3,1.0,1,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,4,1.0,1,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,5,1.0,0,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,6,1.0,0,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,7,1.0,1,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,8,1.0,1,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,9,1.0,2,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,10,1.0,2,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
14400.0,1,11,1.0,2,2,0,4,0,2,3,3.62,55.1322,61.4337,1196680.0,268,1.1032312345244042
12500.0,1,2,0.0,1,0,2,4,0,2,2,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,3,0.0,1,0,2,4,0,2,1,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,4,0.0,1,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,5,0.0,0,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,6,0.0,0,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,7,0.0,1,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,8,0.0,1,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,9,0.0,2,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,10,0.0,2,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,11,0.0,2,0,2,4,0,2,4,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,8,0.0,1,0,2,4,0,2,2,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,9,0.0,2,0,2,4,0,2,2,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,10,0.0,2,0,2,4,0,2,2,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,11,0.0,2,0,2,4,0,2,2,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
12500.0,1,6,1.0,0,0,2,4,0,2,1,8.81,54.723975,55.946397,1128787.0,238,1.1184149159642893
35000.0,1,6,2.0,0,2,0,3,0,1,3,4.50650523258051,52.627253,39.539063,508573.0,60,0.9500017892164668
35000.0,1,7,2.0,1,2,0,3,0,1,3,4.50650523258051,52.627253,39.539063,508573.0,60,0.9500017892164668
35000.0,1,8,2.0,1,2,0,3,0,1,3,4.50650523258051,52.627253,39.539063,508573.0,60,0.9500017892164668
35000.0,1,9,2.0,2,2,0,3,0,1,3,4.50650523258051,52.627253,39.539063,508573.0,60,0.9500017892164668
35000.0,1,10,2.0,2,2,0,3,0,1,3,4.50650523258051,52.627253,39.539063,508573.0,60,0.9500017892164668
35000.0,1,11,2.0,2,2,0,3,0,1,3,4.50650523258051,52.627253,39.539063,508573.0,60,0.9500017892164668
9900.0,1,0,1.0,0,0,0,4,2,2,5,1.16,55.783811,49.149794,1257391.0,222,0.865316365889882
9900.0,1,1,1.0,0,0,0,4,2,2,5,1.16,55.783811,49.149794,1257391.0,222,0.865316365889882
9900.0,1,2,1.0,1,0,0,4,2,2,5,1.16,55.783811,49.149794,1257391.0,222,0.865316365889882
15440.0,1,2,2.0,1,2,0,4,2,4,1,1.91,55.15085,61.41072,1196680.0,115,1.0818051703517284
15440.0,1,3,2.0,1,2,0,4,2,4,1,1.91,55.15085,61.41072,1196680.0,115,1.0818051703517284
15440.0,1,4,2.0,1,2,0,4,2,4,1,1.91,55.15085,61.41072,1196680.0,115,1.0818051703517284
13845.0,1,3,1.0,1,2,0,4,2,2,5,2.70097806829287,53.400799,50.148836,1156659.0,227,1.0508165738930442
13845.0,1,4,1.0,1,2,0,4,2,2,5,2.70097806829287,53.400799,50.148836,1156659.0,227,1.0508165738930442
13845.0,1,5,1.0,0,2,0,4,2,2,5,2.70097806829287,53.400799,50.148836,1156659.0,227,1.0508165738930442
13845.0,1,6,1.0,0,2,0,4,2,2,5,2.70097806829287,53.400799,50.148836,1156659.0,227,1.0508165738930442
27400.0,3,0,1.0,0,0,0,5,2,4,5,0.05,55.73714,37.62419000000001,12615279.0,36,1.1474024528375417
27400.0,3,1,1.0,0,0,0,5,2,4,5,0.05,55.73714,37.62419000000001,12615279.0,36,1.1474024528375417
8000.0,1,11,0.0,2,2,0,2,0,1,1,5.12855961466682,53.398698,58.961765,413253.0,259,1.0560526742493137
8000.0,2,0,0.0,0,2,0,2,0,1,5,5.12855961466682,53.398698,58.961765,413253.0,259,1.0560526742493137
42050.0,1,4,1.0,1,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.0647107369924282
42050.0,1,5,1.0,0,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.0647107369924282
42050.0,1,6,1.0,0,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.1067047042898717
42050.0,1,7,1.0,1,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.1067047042898717
42050.0,1,8,1.0,1,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.1067047042898717
42050.0,1,9,1.0,2,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.0647107369924282
42050.0,1,10,1.0,2,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.0647107369924282
42050.0,1,11,1.0,2,2,0,4,2,4,1,2.89,55.02401,82.92845,1625631.0,115,1.0647107369924282
17000.0,3,3,1.0,1,2,0,3,2,4,4,1.58,53.356025,83.669679,632391.0,115,1.0887599922250981
14440.0,1,3,1.0,1,2,0,4,0,2,3,2.33,55.12596,61.43391999999999,1196680.0,268,1.1036779223417212
14440.0,1,4,1.0,1,2,0,4,0,2,3,2.33,55.12596,61.43391999999999,1196680.0,268,1.1036779223417212
14440.0,1,5,1.0,0,2,0,4,0,2,3,2.33,55.12596,61.43391999999999,1196680.0,268,1.1036779223417212
14440.0,1,6,1.0,0,2,0,4,0,2,3,2.33,55.12596,61.43391999999999,1196680.0,268,1.2103237852202113
14440.0,1,9,1.0,2,2,0,4,0,2,0,2.33,55.12596,61.43391999999999,1196680.0,268,1.1036779223417212
14440.0,1,10,1.0,2,2,0,4,0,2,0,2.33,55.12596,61.43391999999999,1196680.0,268,1.1036779223417212
14440.0,1,11,1.0,2,2,0,4,0,2,0,2.33,55.12596,61.43391999999999,1196680.0,268,1.1036779223417212
12500.0,1,3,1.0,1,1,2,4,0,1,2,2.35214285714286,56.79849399999999,60.632186,1493749.0,83,0.9001613499442714
15000.0,1,4,1.0,1,1,2,4,0,1,2,2.35214285714286,56.79849399999999,60.632186,1493749.0,83,0.9682504708048661
15000.0,1,6,1.0,0,1,2,4,0,1,2,2.35214285714286,56.79849399999999,60.632186,1493749.0,83,0.9682504708048661
15000.0,1,7,1.0,1,1,2,4,0,1,2,2.35214285714286,56.79849399999999,60.632186,1493749.0,83,0.9682504708048661
25000.0,3,2,3.0,1,2,0,4,0,1,5,2.30315424165328,56.820232,60.486166,1493749.0,275,1.007957920399979
25000.0,3,3,3.0,1,2,0,4,0,1,5,2.30315424165328,56.820232,60.486166,1493749.0,275,1.007957920399979
25000.0,3,4,3.0,1,2,0,4,0,1,5,2.30315424165328,56.820232,60.486166,1493749.0,275,1.007957920399979
